ticker,name,market,fund_type,is_leveraged_inverse,issuer,tracked_index,inception_date,listing_date,data_start_date,category_raw,twse_levinv_flag,units_issued,full_name,en_name,source
00682U,期元大美元指數(原名：元大美元指數),TWSE,commodity,False,劉宗聖,標普美元ER指數,2017-03-06,2017-03-14,2024-01-01,指數股票型期貨信託基金,是,7644000,元大標普美元指數傘型期貨信託基金之元大標普美元ER指數股票型期貨信託基金,Yuanta S&amp;P US Dollar ER Futures ETF,twse_opendata
00683L,期元大美元指正2(原名：元大美元指數正2),TWSE,leveraged,True,劉宗聖,標普美元日報酬正向兩倍ER指數,2017-03-06,2017-03-14,2024-01-01,槓桿/反向指數股票型基金,是,11434000,元大標普美元指數傘型期貨信託基金之元大標普美元ER單日正向2倍指數股票型期貨信託基金,Yuanta S&amp;P US Dollar 2x Leverage ER Futures ETF,twse_opendata
00684R,期元大美元指反1(原名：元大美元指數反1),TWSE,leveraged,True,劉宗聖,標普美元日報酬反向一倍ER指數,2017-03-06,2017-03-14,2024-01-01,槓桿/反向指數股票型基金,是,9688000,元大標普美元指數傘型期貨信託基金之元大標普美元ER單日反向1倍指數股票型期貨信託基金,Yuanta S&amp;P US Dollar 1x Inverse ER Futures ETF,twse_opendata
00685L,群益臺灣加權正2,TWSE,leveraged,True,賴政昇,臺灣證券交易所發行量加權股價日報酬正向兩倍指數,2017-03-23,2017-03-30,2024-01-01,槓桿/反向指數股票型基金,否,40139000,群益臺灣加權指數ETF傘型證券投資信託基金之群益臺灣加權指數單日正向2倍證券投資信託基金,CAPITAL TAIEX DAILY LEVERAGED 2X ETF,twse_opendata
00686R,群益臺灣加權反1,TWSE,leveraged,True,賴政昇,臺灣證券交易所發行量加權股價日報酬反向一倍指數,2017-03-23,2017-03-30,2024-01-01,槓桿/反向指數股票型基金,否,178276000,群益臺灣加權指數ETF傘型證券投資信託基金之群益臺灣加權指數單日反向1倍證券投資信託基金,CAPITAL TAIEX DAILY INVERSED -1X ETF,twse_opendata
00687B,國泰20年美債,TPEx,bond,False,國泰,彭博20年期(以上)美國公債指數,2017-04-13,2017-04-20,2024-01-01,債券型,,,國泰20年美債,,tpex_seed
00688L,國泰20年美債正2,TWSE,leveraged,True,李偉正,彭博20年期(以上)美國公債單日正向2倍指數,2017-04-06,2017-04-13,2024-01-01,槓桿/反向指數股票型基金,是,785115000,國泰美國債券ETF傘型證券投資信託基金之20年期(以上)美國公債指數單日正向2倍證券投資信託基金,Cathay US Treasury 20+ YR Lev 2X ETF,twse_opendata
00689R,國泰20年美債反1,TWSE,leveraged,True,李偉正,彭博20年期(以上)美國公債單日反向1倍指數,2017-04-06,2017-04-13,2024-01-01,槓桿/反向指數股票型基金,是,6889000,國泰美國債券ETF傘型證券投資信託基金之20年期(以上)美國公債指數單日反向1倍證券投資信託基金,Cathay US Treasury 20+ YR Inv 1X ETF,twse_opendata
00690,兆豐藍籌30,TWSE,passive_equity,False,陳佩君,藍籌30指數,2017-03-27,2017-03-31,2024-01-01,國內成分證券指數股票型基金,否,80830000,兆豐臺灣藍籌30ETF傘型證券投資信託基金之兆豐臺灣藍籌30 ETF證券投資信託基金,Mega Taiwan Blue Chip 30 ETF,twse_opendata
00691R,兆豐藍籌反一,TWSE,leveraged,False,程聰仁,藍籌30反向一倍指數,2017-03-27,2017-03-31,2024-01-01,槓桿/反向指數股票型基金,否,2106000,兆豐國際臺灣藍籌30ETF傘型證券投資信託基金之兆豐國際臺灣藍籌30單日反向一倍ETF證券投資信託基金,Mega Taiwan Blue Chip 30 Daily Inverse ETF,twse_opendata
